,0
MMM,-0.001256317084478211
AMZN,0.004494381687019096
AXP,0.0037210079283370025
AMGN,0.002332079089573252
AAPL,0.005547492672699353
BA,0.0014216373424515987
CAT,0.0031976142539442277
CVX,0.0016403509818413847
CSCO,0.0012208287393092913
KO,0.0014132828768685228
DOW,0.0015147507271470132
GS,0.0026878838758827945
HD,0.0025793703512758744
HON,0.0017606012976191018
IBM,0.0011255460237603843
INTC,-3.050632069915074e-05
JNJ,0.0004715674069294683
JPM,0.0026768735145651762
MCD,0.0015776735619118713
MRK,0.0029295184615216615
MSFT,0.005466157014043468
NKE,0.001534648849621563
PG,0.002079599699429093
CRM,0.004012691925347137
TRV,0.0018149067556086345
UNH,0.0032980920798502404
VZ,-0.00034632138073880986
V,0.003029652972121087
WMT,0.002560940639695561
DIS,0.0005755070063809267
